endpoint,mode,metric,sigma,beta,bnn,null,delta
spearman_rho,formaldehyde,per_position_ndcg_mean,epi_ale,0.0,0.8884546454244301,0.9217857637776643,-0.03333111835323421
spearman_rho,formaldehyde,per_position_ndcg_mean,epi_only,0.0,0.9217857637776643,0.9217857637776643,0.0
spearman_rho,nearest,per_position_ndcg_mean,total,0.0,0.7705741944309673,0.7990898563105256,-0.02851566187955834
spearman_rho,nearest,per_position_ndcg_mean,epi_ale,1.0,0.9596125019552876,0.7990898563105256,0.16052264564476193
spearman_rho,nearest,per_position_ndcg_mean,epi_only,0.0,0.7880837826500845,0.7990898563105256,-0.011006073660441151
spearman_rho,avg_all,per_position_ndcg_mean,total,2.0,0.9225808536179461,0.9659171707845774,-0.04333631716663133
spearman_rho,avg_all,per_position_ndcg_mean,epi_ale,0.0,0.9596841437654143,0.9659171707845774,-0.006233027019163062
spearman_rho,avg_all,per_position_ndcg_mean,epi_only,1.0,0.9653362930168011,0.9659171707845774,-0.0005808777677762667
spearman_rho,distance_weighted,per_position_ndcg_mean,total,2.0,0.9219177530083268,0.9659725491825717,-0.0440547961742449
spearman_rho,distance_weighted,per_position_ndcg_mean,epi_ale,0.0,0.9617153205179655,0.9659725491825717,-0.004257228664606205
spearman_rho,distance_weighted,per_position_ndcg_mean,epi_only,0.5,0.9651819877266127,0.9659725491825717,-0.0007905614559590157
spearman_rho,formaldehyde,per_position_top1_recovery,total,0.0,0.4600000000000001,0.5,-0.039999999999999925
spearman_rho,formaldehyde,per_position_top1_recovery,epi_ale,0.0,0.54,0.5,0.040000000000000036
spearman_rho,formaldehyde,per_position_top1_recovery,epi_only,0.0,0.5,0.5,0.0
spearman_rho,nearest,per_position_top1_recovery,total,0.0,0.5333333333333333,0.6166666666666667,-0.08333333333333337
